PM2.5,PM10,NO2,AQI
65.16,184.84,52.69,142.0
52.88,172.08,26.45,154.0
40.99,122.69,29.54,130.0
39.22,102.6,24.58,113.0
36.86,76.61,27.36,91.0
34.41,72.03,25.38,77.0
56.53,128.8,36.38,122.0
69.42,167.05,45.82,133.0
53.53,119.1,38.23,133.0
48.33,115.41,36.77,118.0
58.65,125.68,36.24,118.0
21.58,68.71,39.44,61.0
23.22,64.84,39.56,86.0
51.51,111.28,57.93,105.0
56.85,115.5,62.91,106.0
68.25,129.41,65.0,120.0
84.48,164.24,80.74,156.0
77.38,173.47,75.54,182.0
71.23,160.66,89.44,144.0
19.48,46.57,35.92,56.0
85.11,183.15,97.16,189.0
93.95,190.73,105.22,190.0
80.96,152.44,89.01,215.0
77.86,159.49,90.28,145.0
70.89,125.4,68.12,160.0
74.34,129.57,69.78,130.0
97.09,143.69,86.95,176.0
111.21,170.04,76.7,266.0
107.24,162.72,72.27,276.0
89.07,160.83,72.19,218.0
90.61,164.19,74.89,180.0
96.57,174.31,57.77,217.0
48.88,84.99,63.12,81.0
55.24,81.9,55.65,89.0
83.4,121.25,46.47,136.0
93.78,142.65,67.51,199.0
92.72,135.61,77.45,221.0
73.19,127.1,69.17,119.0
82.53,145.06,67.17,153.0
95.18,154.73,76.4,202.0
79.29,136.71,74.24,191.0
83.17,140.9,83.38,183.0
109.97,189.28,124.57,210.0
139.38,230.27,140.17,304.0
126.47,187.83,106.1,312.0
127.94,196.3,92.41,304.0
126.66,184.73,94.51,306.0
121.47,215.5,103.31,302.0
118.17,219.63,121.38,298.0
97.45,225.75,121.94,274.0
115.23,198.47,113.39,270.0
121.81,193.4,100.16,302.0
99.69,157.03,71.61,257.0
92.66,146.49,57.32,212.0
116.99,172.92,58.43,256.0
120.33,182.65,60.37,301.0
108.43,159.44,50.62,274.0
118.0,174.01,58.6,262.0
107.94,163.17,63.17,287.0
108.34,173.27,61.22,262.0
96.45,159.1,71.77,242.0
100.34,165.55,60.14,230.0
62.74,108.94,43.14,113.0
51.67,70.71,55.79,91.0
54.24,87.78,56.1,96.0
47.81,99.22,65.34,111.0
84.99,137.17,71.78,143.0
63.05,111.15,68.18,141.0
71.09,128.56,85.01,130.0
73.21,129.76,61.14,150.0
81.64,146.56,83.44,159.0
81.71,142.46,74.7,178.0
75.52,125.82,25.85,159.0
65.56,128.56,23.26,115.0
70.86,142.17,28.42,121.0
69.96,130.91,35.52,157.0
60.11,101.22,22.82,116.0
38.35,95.79,21.18,96.0
36.92,106.73,25.18,96.0
43.16,149.98,28.73,126.0
42.51,121.35,24.64,131.0
33.88,80.8,18.86,95.0
20.92,49.94,13.32,60.0
49.2,116.27,16.7,120.0
42.1,87.51,13.22,105.0
16.39,53.9,8.68,92.0
12.88,59.01,9.92,86.0
10.66,47.74,8.02,56.0
12.77,50.79,8.45,78.0
27.0,90.58,15.67,74.0
32.79,104.04,17.4,97.0
39.77,129.33,24.88,107.0
43.78,124.06,19.29,130.0
40.96,101.35,14.19,110.0
40.08,93.9,14.86,98.0
22.52,69.14,13.59,101.0
22.09,53.31,9.6,85.0
25.39,49.43,7.75,85.0
21.71,43.12,6.24,60.0
23.56,53.08,12.03,56.0
23.68,64.65,14.63,67.0
17.99,48.09,8.02,79.0
17.03,46.96,10.15,45.0
20.58,51.83,9.93,53.0
24.0,60.54,10.84,69.0
27.44,70.3,12.49,65.0
24.11,65.16,9.81,78.0
28.43,60.07,9.49,83.0
33.0,72.26,9.26,64.0
37.09,70.85,7.48,102.0
30.05,62.5,8.62,92.0
20.75,45.07,5.59,58.0
13.97,39.04,7.21,76.0
18.72,50.84,6.06,78.0
22.07,63.47,5.25,91.0
19.4,55.83,7.03,124.0
13.49,34.05,4.2,75.0
20.68,38.77,4.48,73.0
16.52,36.76,3.14,101.0
15.91,33.28,2.04,64.0
17.24,43.11,5.32,80.0
25.87,89.0,9.61,85.0
15.77,50.12,6.04,80.0
23.75,68.9,11.38,84.0
25.36,81.59,20.61,79.0
32.7,91.22,17.13,91.0
20.21,57.8,13.78,79.0
11.55,37.66,13.27,82.0
9.39,36.94,12.29,45.0
9.77,35.42,12.59,41.0
21.38,75.6,19.85,78.0
24.68,132.02,29.05,124.0
17.58,59.05,18.08,73.0
28.05,84.5,18.74,71.0
27.98,79.71,18.31,79.0
23.32,70.68,16.88,78.0
15.52,46.14,15.11,57.0
12.11,40.82,15.46,46.0
19.03,60.71,19.23,58.0
27.18,93.8,23.54,83.0
38.9,111.93,27.29,109.0
57.73,211.34,35.92,148.0
44.49,163.62,22.32,158.0
39.76,152.97,23.24,146.0
47.3,136.76,20.22,133.0
39.81,138.9,18.58,122.0
49.19,155.58,26.89,126.0
40.38,112.93,24.31,131.0
44.65,114.79,19.79,124.0
35.5,98.4,19.29,106.0
34.12,88.79,19.98,109.0
41.62,95.91,20.32,92.0
43.1,96.34,21.71,88.0
35.3,89.42,17.33,95.0
40.35,94.6,18.93,93.0
32.33,78.4,19.42,104.0
24.95,74.2,20.68,80.0
30.42,76.95,16.96,99.0
36.5,84.57,17.83,99.0
40.04,98.75,17.31,108.0
40.51,99.45,16.93,99.0
38.88,86.09,18.0,106.0
36.31,77.21,18.03,85.0
38.7,82.24,16.29,83.0
33.52,79.78,26.44,83.0
36.8,75.96,17.39,74.0
41.89,99.66,22.98,103.0
41.47,90.61,18.25,101.0
31.52,73.42,20.17,80.0
39.73,104.78,27.54,107.0
36.24,84.55,19.93,91.0
24.16,59.22,26.79,78.0
23.12,57.48,24.2,65.0
31.95,71.15,26.2,71.0
26.02,66.47,20.95,90.0
22.19,63.59,25.07,78.0
13.91,48.33,24.16,61.0
11.81,43.2,29.99,50.0
10.02,31.73,33.11,42.0
9.55,31.71,24.02,38.0
17.42,69.93,18.88,54.0
19.25,71.73,18.26,75.0
23.99,66.09,28.19,72.0
23.62,68.06,36.52,59.0
21.28,72.04,27.95,77.0
14.03,40.6,25.45,59.0
17.9,39.22,29.14,42.0
17.07,40.3,25.75,46.0
13.45,34.6,24.16,48.0
15.93,32.7,20.53,53.0
19.8,34.77,30.66,78.0
21.45,38.36,36.24,74.0
12.45,30.36,26.62,70.0
9.57,26.83,22.0,42.0
11.55,25.16,22.16,46.0
13.4,23.95,29.37,39.0
12.05,24.42,29.88,66.0
14.54,32.83,30.62,68.0
8.4,21.46,30.36,68.0
10.31,22.14,25.22,70.0
13.91,38.67,18.0,72.0
15.17,40.56,18.2,43.0
13.1,34.85,22.88,35.0
11.3,31.96,23.47,37.0
13.03,29.59,25.64,75.0
11.17,25.03,26.2,40.0
11.65,27.15,22.68,70.0
17.22,34.78,4.58,48.0
12.68,20.52,3.7,41.0
10.73,22.63,9.95,48.0
14.44,40.44,17.05,39.0
21.86,56.69,19.35,55.0
16.18,39.97,16.01,53.0
22.28,42.15,13.16,46.0
11.14,18.23,5.65,47.0
14.72,22.46,4.64,45.0
12.89,26.39,9.64,39.0
13.53,23.73,12.71,35.0
7.48,15.84,10.04,35.0
12.52,30.89,3.94,65.0
13.25,37.61,2.08,36.0
10.89,26.77,11.39,68.0
8.0,22.87,10.03,28.0
10.62,26.84,4.4,29.0
8.71,21.35,4.43,34.0
6.85,13.3,1.52,68.0
9.31,19.98,3.35,24.0
7.53,24.18,6.1,31.0
6.89,13.83,6.48,32.0
7.35,18.12,6.38,66.0
7.45,19.56,7.66,27.0
10.88,30.31,10.11,32.0
13.49,37.83,7.57,70.0
16.6,47.35,6.74,76.0
24.56,47.61,9.16,51.0
15.75,34.12,9.34,49.0
17.54,31.8,9.58,40.0
15.8,44.75,12.43,92.0
14.98,36.58,13.97,47.0
10.11,23.08,14.19,37.0
23.31,39.09,12.18,50.0
27.63,44.01,11.48,78.0
21.05,31.3,14.29,45.0
18.12,33.96,11.78,43.0
7.09,24.44,7.41,72.0
7.08,21.25,7.96,46.0
9.79,26.48,11.9,74.0
32.29,56.07,12.02,55.0
40.0,67.65,13.18,72.0
19.31,36.71,13.02,51.0
9.48,25.78,11.3,43.0
13.78,24.72,10.61,41.0
8.12,21.82,7.85,52.0
9.99,25.65,12.56,72.0
9.29,20.41,16.43,44.0
11.75,23.54,13.51,71.0
7.14,23.73,11.84,40.0
7.53,26.41,10.7,39.0
11.82,27.75,11.1,69.0
18.57,36.29,9.97,49.0
38.32,53.68,9.76,67.0
19.51,39.12,13.01,48.0
18.54,35.57,13.63,48.0
12.01,28.41,13.82,45.0
12.95,35.12,13.44,64.0
18.41,39.48,11.45,49.0
42.98,74.55,15.53,74.0
56.76,101.39,20.7,94.0
78.45,137.41,26.0,122.0
89.53,148.15,22.79,190.0
85.95,135.44,24.78,198.0
81.5,128.86,20.13,174.0
77.93,128.41,14.09,168.0
51.46,82.75,12.24,126.0
39.26,68.41,16.23,77.0
37.5,69.2,20.42,94.0
45.41,76.67,14.75,73.0
50.33,91.06,16.68,101.0
60.86,97.67,13.27,100.0
64.88,104.25,15.42,115.0
63.97,109.47,18.14,127.0
42.45,72.25,14.32,90.0
62.31,89.89,14.9,98.0
80.27,113.24,12.84,162.0
63.19,97.39,13.46,141.0
53.15,87.02,15.54,94.0
63.39,100.23,15.36,97.0
76.12,111.89,16.19,136.0
83.5,121.3,15.78,167.0
79.85,124.9,16.51,174.0
68.76,109.47,21.1,151.0
57.83,88.67,14.13,121.0
35.69,63.76,14.42,78.0
55.2,86.24,12.3,79.0
55.72,86.96,13.9,98.0
63.99,97.97,14.49,100.0
77.57,114.45,14.81,156.0
82.76,122.21,22.64,160.0
90.54,132.55,23.89,185.0
39.12,69.06,24.73,83.0
51.44,82.17,22.53,86.0
38.89,66.08,18.7,72.0
35.8,62.14,16.11,66.0
39.06,63.53,13.1,64.0
47.53,79.0,17.58,73.0
46.6,78.44,17.93,76.0
67.15,107.1,25.62,96.0
66.82,105.01,17.15,137.0
83.16,120.25,17.41,138.0
79.92,119.82,19.92,188.0
83.64,118.52,15.67,166.0
72.34,103.82,13.46,162.0
72.99,104.91,13.46,147.0
76.56,115.06,14.77,138.0
84.51,120.22,13.16,194.0
50.52,81.46,14.79,114.0
41.79,73.58,17.65,77.0
57.09,88.15,15.8,79.0
74.45,110.95,12.5,133.0
59.42,90.44,12.73,131.0
49.5,80.8,12.64,87.0
59.64,88.85,12.12,96.0
42.46,65.39,12.17,82.0
39.07,62.93,13.53,76.0
22.79,38.35,18.79,47.0
37.81,56.66,12.98,55.0
38.82,61.4,11.64,66.0
69.49,97.7,12.04,109.0
53.32,75.4,11.47,103.0
37.23,62.09,13.23,78.0
51.22,84.62,21.49,70.0
66.57,100.98,16.47,110.0
78.28,109.42,16.82,147.0
85.67,121.55,20.64,177.0
82.66,111.92,14.0,168.0
68.4,90.93,11.06,163.0
56.44,75.95,10.33,108.0
45.81,66.69,11.52,82.0
31.59,51.42,8.68,60.0
36.62,58.14,10.43,58.0
31.22,57.33,16.9,62.0
29.88,55.3,15.62,63.0
37.56,65.26,14.76,63.0
59.33,93.3,17.94,87.0
61.4,96.6,15.34,101.0
51.18,76.33,11.66,98.0
38.39,63.99,15.39,77.0
34.56,62.65,16.51,74.0
33.62,60.66,14.78,65.0
29.98,51.68,9.21,59.0
32.18,60.01,13.11,59.0
26.72,53.9,15.53,66.0
21.22,43.36,12.12,52.0
19.94,42.27,10.35,47.0
24.44,47.41,12.27,48.0
27.24,49.64,14.18,54.0
25.74,46.38,11.44,54.0
20.12,42.08,14.78,47.0
16.85,37.38,9.88,44.0
22.46,41.78,10.81,45.0
38.73,63.42,16.17,51.0
36.26,56.64,14.25,65.0
45.14,73.27,13.84,70.0
59.61,94.82,17.03,86.0
61.24,99.2,25.9,110.0
43.11,76.55,16.21,87.0
64.53,110.64,23.25,103.0
37.53,64.2,14.1,88.0
29.12,54.82,14.06,66.0
31.68,62.23,14.53,66.0
40.98,69.15,14.6,65.0
49.1,74.88,12.98,77.0
35.92,61.83,11.83,74.0
27.13,54.16,12.98,60.0
34.81,62.43,14.44,82.0
31.66,53.22,9.29,68.0
24.86,47.43,10.73,53.0
31.28,59.42,13.15,78.0
38.85,67.95,13.49,73.0
31.99,57.18,10.99,68.0
35.99,59.72,10.24,65.0
32.99,56.46,8.29,67.0
39.84,62.14,11.69,67.0
40.19,64.95,10.71,70.0
35.95,59.47,12.61,66.0
20.14,31.66,7.85,47.0
14.26,24.49,6.19,35.0
10.28,22.95,8.15,35.0
12.37,22.79,9.77,42.0
10.63,22.11,7.78,35.0
23.78,44.16,8.07,48.0
25.83,45.42,7.94,48.0
27.28,47.52,9.42,48.0
31.49,49.92,8.93,54.0
19.45,36.11,9.54,48.0
18.86,35.92,8.13,51.0
15.23,28.92,7.4,43.0
13.9,26.07,5.15,37.0
26.01,50.98,4.65,51.0
17.19,39.17,4.81,47.0
16.77,35.65,4.29,101.0
23.67,44.23,4.99,108.0
25.36,50.63,4.69,52.0
25.12,52.01,4.71,61.0
26.96,53.31,5.11,58.0
