PM2.5,PM10,NO2,AQI
43.93,100.62,30.82,99.0
61.91,138.56,31.59,118.0
72.97,163.05,35.39,138.0
81.51,181.02,37.44,160.0
56.93,126.56,35.26,143.0
62.09,138.1,29.75,126.0
64.23,141.23,22.13,149.0
74.91,178.86,24.35,144.0
72.08,160.38,27.11,154.0
70.27,155.08,27.48,131.0
78.42,186.41,33.79,184.0
92.38,205.42,21.67,170.0
77.42,171.98,19.65,176.0
45.44,100.89,27.8,131.0
34.45,76.48,32.28,81.0
28.29,62.82,29.28,77.0
14.54,32.35,31.28,70.0
24.39,55.75,27.86,69.0
27.89,61.97,25.9,64.0
37.34,88.8,21.51,75.0
45.99,102.22,25.32,98.0
69.5,159.89,28.99,101.0
52.22,115.98,24.15,118.0
27.56,61.73,36.82,83.0
41.63,133.64,18.15,132.0
72.66,138.2,19.13,121.0
47.29,84.07,16.36,119.0
21.95,46.79,15.49,85.0
35.6,79.37,13.73,74.0
37.63,63.42,10.68,85.0
38.35,110.64,16.64,109.0
30.74,80.8,16.64,97.0
43.75,100.92,28.21,97.0
74.98,145.44,69.8,114.0
59.63,118.65,64.12,147.0
65.93,129.11,38.61,119.0
54.21,110.82,72.44,120.0
84.41,144.68,29.71,147.0
97.06,176.04,31.61,198.0
93.87,135.68,15.08,244.0
37.95,76.21,18.64,116.0
90.72,142.79,12.11,174.0
36.44,63.95,10.57,99.0
69.3,135.22,9.09,112.0
34.17,70.38,39.57,101.0
38.31,96.81,14.91,99.0
31.87,61.91,9.74,76.0
49.54,105.25,9.31,100.0
37.44,95.69,10.04,102.0
46.62,98.1,30.3,90.0
58.24,114.75,47.67,106.0
38.7,93.26,63.38,108.0
26.47,62.35,11.18,79.0
22.15,55.39,8.36,71.0
34.8,75.58,8.64,77.0
32.11,71.02,13.58,77.0
38.02,79.34,32.18,81.0
43.03,101.54,22.68,100.0
57.3,130.38,27.38,123.0
55.89,132.32,20.02,122.0
58.44,141.53,13.55,121.0
49.65,120.56,11.27,124.0
63.82,181.11,10.54,135.0
38.14,123.69,7.91,148.0
51.45,115.44,9.43,104.0
46.72,88.35,9.22,103.0
35.52,68.81,9.41,79.0
39.76,97.33,9.65,90.0
39.17,86.77,10.66,94.0
34.67,95.14,10.5,98.0
50.27,146.22,22.83,113.0
52.25,116.06,13.75,122.0
40.12,96.78,11.14,101.0
41.37,96.26,10.38,98.0
71.78,157.84,11.13,126.0
44.71,79.43,10.76,106.0
62.47,113.81,11.16,104.0
52.47,124.04,9.73,91.0
55.22,177.85,8.66,153.0
31.45,79.17,8.29,121.0
22.63,78.34,11.89,81.0
30.66,93.25,16.42,94.0
30.83,111.52,8.14,100.0
20.91,79.27,8.09,96.0
16.57,50.38,7.71,65.0
24.92,72.1,8.78,66.0
22.93,102.56,10.12,100.0
39.66,110.23,10.55,94.0
39.39,148.72,10.47,127.0
34.2,121.47,10.6,126.0
38.51,95.89,10.58,93.0
35.45,85.48,10.73,86.0
39.52,101.22,10.62,98.0
39.29,104.66,10.8,105.0
15.97,45.06,10.65,77.0
33.24,67.52,10.16,73.0
23.68,49.41,8.8,59.0
38.8,110.12,9.07,67.0
25.52,67.57,9.21,69.0
52.38,135.9,16.7,89.0
60.87,154.12,27.4,146.0
48.44,135.54,25.05,110.0
50.87,122.29,15.78,142.0
24.63,44.26,26.07,60.0
41.52,67.16,18.92,51.0
32.36,55.29,10.18,73.0
24.46,48.21,10.4,52.0
31.59,62.79,20.49,53.0
29.65,57.49,14.02,64.0
36.65,64.81,11.3,61.0
34.1,60.06,10.68,60.0
43.15,76.76,10.4,71.0
48.85,74.56,9.49,75.0
43.72,69.77,9.53,79.0
28.22,53.0,9.31,70.0
24.73,49.38,9.94,46.0
27.5,48.96,10.97,55.0
26.73,47.19,13.84,55.0
29.12,48.46,14.06,51.0
25.95,51.61,14.3,48.0
17.41,41.49,9.96,47.0
23.92,45.63,10.22,47.0
16.58,37.38,9.41,42.0
24.34,49.36,9.82,45.0
41.6,63.19,9.07,67.0
31.11,54.02,9.13,59.0
33.02,56.3,9.18,56.0
27.95,50.61,8.96,52.0
27.18,64.55,8.96,61.0
21.42,44.31,9.28,54.0
21.94,49.35,9.3,43.0
27.52,52.67,9.0,53.0
32.26,59.32,9.02,54.0
20.54,44.11,8.87,53.0
23.62,49.13,9.02,50.0
23.28,50.89,9.19,58.0
22.43,46.17,9.19,50.0
19.43,39.75,9.19,44.0
11.69,37.87,9.19,39.0
16.58,35.71,9.16,45.0
25.06,53.57,9.19,48.0
42.78,75.93,9.07,68.0
34.69,70.15,8.91,77.0
34.9,72.3,8.83,69.0
42.01,80.46,8.87,77.0
36.3,63.21,9.14,68.0
44.57,73.97,8.95,84.0
35.47,62.21,9.47,64.0
37.27,62.08,11.54,60.0
42.27,66.27,19.49,70.0
41.31,67.58,8.82,80.0
29.85,53.6,8.92,54.0
41.67,71.05,8.81,79.0
43.4,142.24,8.81,144.0
20.82,36.97,8.81,64.0
32.17,53.74,8.81,55.0
32.83,58.77,8.77,70.0
28.54,56.86,12.06,68.0
38.61,76.3,16.01,70.0
39.22,75.57,11.7,81.0
41.36,79.85,11.2,77.0
40.96,75.26,10.7,79.0
35.44,63.1,10.91,84.0
45.56,70.58,14.37,103.0
42.86,69.71,10.58,85.0
33.95,61.35,17.21,79.0
37.32,65.85,11.66,56.0
43.51,74.09,10.94,75.0
31.24,54.09,11.3,91.0
27.76,52.71,11.15,97.0
33.91,61.33,11.05,90.0
46.92,76.58,10.93,87.0
29.63,55.14,10.91,66.0
29.2,55.32,10.56,61.0
60.23,82.57,10.91,87.0
78.08,97.22,10.88,146.0
35.0,62.07,10.44,96.0
21.75,50.58,10.49,60.0
12.58,41.81,10.51,63.0
16.26,48.02,10.54,48.0
18.15,51.03,10.58,57.0
27.76,65.44,10.66,67.0
28.07,69.46,10.32,84.0
24.0,51.78,10.56,55.0
30.18,54.28,10.3,60.0
66.88,95.67,12.09,86.0
34.53,75.78,11.41,94.0
48.2,73.6,11.35,132.0
47.82,71.06,12.56,81.0
36.76,64.47,11.64,77.0
38.85,74.0,11.53,94.0
22.66,54.08,11.53,58.0
42.86,107.14,11.51,87.0
62.48,136.27,11.51,110.0
80.27,181.64,14.51,147.0
96.33,172.08,18.14,227.0
84.31,132.9,11.56,179.0
90.71,135.6,13.12,198.0
107.98,161.15,8.57,234.0
116.05,181.67,9.11,212.0
249.1,303.33,19.85,399.0
111.47,189.73,10.03,309.0
127.13,245.27,9.78,247.0
139.65,226.33,10.01,321.0
154.49,235.28,9.94,313.0
110.95,181.95,9.91,313.0
155.83,305.4,10.98,302.0
104.21,207.47,10.64,288.0
97.09,186.99,32.85,261.0
137.13,221.46,9.95,254.0
34.94,71.87,9.95,212.0
24.18,61.24,10.04,54.0
42.84,81.33,10.04,72.0
84.92,143.08,10.24,140.0
84.63,158.85,10.25,160.0
168.71,313.31,10.31,285.0
189.44,339.69,10.0,358.0
148.61,260.33,10.09,334.0
103.87,180.68,10.0,317.0
86.49,164.0,9.91,259.0
42.18,105.92,10.01,110.0
101.44,190.56,10.01,162.0
147.55,263.97,10.0,322.0
91.41,253.95,9.98,235.0
112.55,180.08,9.99,280.0
57.31,122.03,10.01,157.0
24.07,59.83,9.99,85.0
32.98,88.49,9.99,74.0
39.29,146.1,9.99,108.0
30.77,80.76,10.03,113.0
31.91,46.08,10.02,64.0
25.36,39.49,9.85,44.0
26.37,51.37,10.32,47.0
41.64,69.84,10.15,60.0
60.29,99.83,10.06,89.0
84.89,137.8,9.93,145.0
87.69,140.27,10.05,183.0
90.75,145.52,10.6,220.0
66.85,103.82,13.89,147.0
54.62,84.09,11.54,106.0
74.16,111.95,10.78,121.0
67.0,114.79,12.9,123.0
103.57,162.16,15.08,187.0
128.64,202.77,14.02,291.0
86.0,132.04,12.72,245.0
28.77,44.31,12.31,186.0
24.95,35.96,14.74,43.0
39.26,47.36,13.75,59.0
30.72,38.24,11.28,58.0
41.03,51.31,12.41,55.0
49.45,64.66,13.0,74.0
58.96,85.25,14.96,95.0
63.18,80.52,12.09,107.0
108.34,125.24,11.94,171.0
52.95,69.41,13.09,184.0
62.11,84.25,12.12,96.0
69.27,101.77,13.24,108.0
97.42,128.35,9.83,210.0
52.73,76.1,10.53,141.0
58.57,84.32,10.62,91.0
77.3,105.41,10.73,126.0
80.31,106.95,10.78,156.0
80.8,107.95,10.88,193.0
71.17,97.83,10.78,155.0
71.0,98.3,10.0,111.0
94.38,137.93,10.38,184.0
80.8,115.13,10.44,196.0
78.22,110.89,10.03,160.0
96.86,134.78,10.02,221.0
65.12,95.22,9.67,156.0
33.39,47.36,10.43,88.0
36.74,46.3,9.77,58.0
24.14,31.7,10.12,46.0
56.17,80.34,10.05,66.0
55.79,76.73,9.74,103.0
55.64,80.28,10.19,87.0
44.56,73.05,9.99,87.0
47.0,61.51,10.01,74.0
31.25,83.72,9.89,64.0
64.93,108.1,10.17,111.0
37.05,69.74,10.04,98.0
21.05,40.05,10.07,63.0
27.42,50.66,10.01,63.0
43.96,77.9,9.93,70.0
71.6,130.66,10.17,108.0
45.03,82.9,10.69,107.0
61.56,94.0,10.77,90.0
42.4,55.89,10.82,96.0
20.48,36.13,10.7,55.0
27.36,57.69,10.35,60.0
21.43,139.43,10.15,102.0
67.56,103.84,21.0,111.0
55.53,94.4,12.2,99.0
74.16,128.7,11.48,121.0
62.25,102.49,13.47,124.0
92.15,166.94,11.59,152.0
113.54,160.38,11.18,282.0
63.68,115.75,10.13,144.0
84.93,187.15,10.4,190.0
38.88,136.28,13.17,133.0
42.33,117.43,11.27,112.0
33.14,100.08,10.48,107.0
41.33,123.92,10.41,106.0
69.4,154.93,10.43,132.0
66.39,145.96,11.42,139.0
59.59,144.61,11.48,128.0
58.55,134.7,13.05,121.0
71.27,156.66,14.77,134.0
58.17,133.37,13.89,127.0
67.24,142.34,11.73,128.0
26.4,83.14,12.31,108.0
22.15,83.69,12.55,76.0
32.33,97.38,11.96,92.0
33.46,103.81,11.38,101.0
55.5,135.96,10.82,118.0
22.09,74.89,11.96,97.0
17.61,61.51,11.14,68.0
17.0,61.08,11.2,59.0
25.44,77.68,11.41,70.0
20.71,72.89,11.81,75.0
43.24,115.85,12.66,96.0
40.15,107.64,13.18,107.0
17.08,70.36,11.62,72.0
21.05,70.22,11.98,69.0
25.65,83.27,12.99,79.0
38.07,106.34,12.39,95.0
41.78,109.94,10.31,106.0
45.62,118.05,10.48,110.0
39.08,107.8,10.28,107.0
40.61,110.94,10.97,111.0
33.78,100.73,11.47,96.0
24.57,77.22,11.39,93.0
30.12,85.69,10.34,78.0
26.35,75.6,10.94,86.0
15.6,61.47,10.79,64.0
22.63,72.7,11.82,66.0
20.29,60.78,13.83,71.0
12.03,54.63,12.76,54.0
17.74,63.75,11.56,60.0
21.35,68.57,11.05,67.0
21.91,70.76,10.68,69.0
14.18,60.07,10.29,65.0
13.97,63.92,10.82,63.0
17.52,61.42,10.69,61.0
22.8,50.68,10.84,58.0
34.73,68.87,10.78,60.0
20.09,34.55,11.21,45.0
29.47,59.84,11.55,52.0
22.37,50.46,10.67,59.0
32.05,75.31,18.96,68.0
22.61,48.2,17.01,61.0
17.45,38.01,11.4,45.0
8.8,18.03,11.43,43.0
11.33,30.5,11.33,44.0
16.35,56.92,12.25,51.0
9.84,39.79,13.03,47.0
13.72,51.33,14.02,48.0
14.67,59.48,16.84,56.0
20.68,78.36,16.25,68.0
15.74,67.22,16.48,74.0
14.78,54.18,15.44,60.0
11.2,42.21,32.33,51.0
13.63,52.77,21.57,56.0
24.61,86.73,19.19,72.0
23.98,112.59,17.26,102.0
32.01,141.16,14.93,118.0
28.37,114.11,16.36,118.0
15.46,65.47,18.66,91.0
19.64,72.31,16.05,61.0
18.81,74.73,14.69,77.0
23.32,76.19,12.39,75.0
18.39,48.21,26.95,60.0
34.0,83.68,24.27,71.0
37.31,87.52,18.78,87.0
39.62,91.93,13.69,94.0
32.14,70.6,15.65,75.0
24.59,49.58,16.79,61.0
44.76,86.65,15.63,67.0
42.22,78.34,15.84,95.0
21.61,43.74,15.94,52.0
35.91,69.27,14.83,61.0
39.96,77.29,15.98,75.0
44.56,76.97,17.48,76.0
34.55,59.21,14.96,65.0
43.35,68.58,15.0,68.0
52.58,81.31,15.55,80.0
68.2,113.31,13.29,115.0
54.78,96.64,12.8,106.0
29.01,55.05,11.41,74.0
16.29,72.17,10.6,69.0
51.47,90.41,10.31,81.0
37.21,66.23,10.97,77.0
43.68,108.29,10.33,81.0
29.99,77.22,11.22,67.0
24.14,51.65,14.87,63.0
13.33,25.58,22.14,48.0
19.12,33.74,39.8,43.0
26.84,152.97,21.62,65.0
26.72,486.99,12.54,478.0
30.13,167.85,15.08,193.0
20.75,29.73,21.48,56.0
15.5,24.76,15.84,41.0
26.99,43.07,15.1,42.0
27.07,59.04,13.52,51.0
27.87,96.72,9.17,89.0
24.76,93.78,8.31,104.0
31.92,96.98,8.01,87.0
28.49,108.35,7.97,103.0
37.0,119.96,16.04,110.0
40.46,131.87,26.2,117.0
34.6,123.23,18.43,117.0
47.94,169.06,12.63,131.0
55.58,88.74,53.34,120.0
39.81,95.02,18.72,72.0
68.81,312.18,12.03,125.0
23.77,69.62,9.97,130.0
31.68,57.96,10.71,59.0
32.85,151.19,18.01,83.0
45.24,40.0,17.9,85.0
26.77,60.69,19.83,49.0
41.64,76.49,15.97,66.0
57.67,100.99,15.11,78.0
27.93,95.68,4.71,93.0
34.05,90.68,9.83,96.0
38.1,61.67,3.3,88.0
40.41,67.91,3.96,71.0
27.21,62.04,7.2,69.0
29.75,64.56,5.64,68.0
18.35,49.86,4.55,59.0
34.43,89.26,4.23,74.0
33.66,105.3,6.56,102.0
22.93,73.73,6.05,94.0
16.0,57.51,5.25,80.0
22.41,59.18,5.06,77.0
13.93,49.87,3.31,48.0
24.45,49.4,5.3,68.0
15.77,44.47,5.38,58.0
29.59,71.0,7.86,58.0
30.27,73.77,8.1,74.0
25.9,77.68,4.75,72.0
38.69,82.66,4.05,83.0
53.09,112.6,5.0,94.0
43.67,104.59,4.64,106.0
53.12,120.09,5.73,108.0
56.82,121.89,6.53,117.0
50.45,106.22,6.51,107.0
58.03,106.62,5.64,107.0
57.61,112.63,4.3,98.0
74.8,128.72,6.28,135.0
73.44,135.12,6.34,138.0
83.96,151.62,6.6,158.0
80.65,133.85,7.57,187.0
56.2,108.33,5.93,122.0
51.84,109.52,5.48,110.0
53.9,111.12,5.4,105.0
53.79,117.94,5.22,111.0
47.72,106.01,4.3,108.0
46.9,108.1,5.96,104.0
71.66,130.66,7.38,110.0
92.3,159.18,7.59,190.0
104.11,150.29,6.84,231.0
122.16,180.25,16.3,253.0
154.85,224.22,13.6,335.0
110.06,184.04,19.43,268.0
108.09,181.54,11.43,270.0
109.17,169.19,10.06,262.0
112.71,190.12,13.46,270.0
123.26,190.28,11.76,297.0
135.98,215.41,8.11,283.0
114.56,166.58,6.33,322.0
53.96,115.54,6.08,148.0
58.85,125.5,7.78,117.0
46.3,84.99,9.68,100.0
45.3,72.48,8.67,82.0
96.95,162.86,17.22,245.0
63.35,122.19,10.68,165.0
42.54,70.69,9.85,94.0
61.85,100.77,25.44,87.0
84.1,125.61,17.06,256.0
44.9,76.48,18.03,107.0
46.55,93.05,51.27,80.0
61.28,138.26,48.98,111.0
32.56,64.7,52.22,88.0
42.0,74.34,29.43,100.0
50.57,91.07,8.06,95.0
55.52,105.75,10.22,92.0
59.05,98.34,12.28,107.0
78.39,120.04,11.11,122.0
81.14,140.46,15.46,166.0
91.88,171.84,13.5,199.0
92.12,167.97,5.08,204.0
77.58,135.81,10.6,186.0
69.8,133.11,12.89,139.0
69.48,111.77,14.4,142.0
97.55,196.46,21.94,157.0
90.07,153.17,20.88,218.0
119.05,175.51,21.97,211.0
108.0,141.0,23.28,307.0
21.86,53.35,14.69,115.0
39.0,70.49,14.96,44.0
39.25,63.12,11.3,70.0
41.79,77.26,10.15,69.0
61.95,101.09,12.21,89.0
49.36,82.55,11.18,95.0
91.41,119.91,14.2,149.0
98.48,132.54,14.95,204.0
68.55,119.96,11.44,199.0
46.06,87.11,11.25,101.0
41.79,83.61,12.09,80.0
67.27,132.94,13.21,110.0
35.08,65.55,9.79,96.0
38.86,79.99,10.41,69.0
61.39,131.32,14.23,97.0
77.1,156.58,11.78,127.0
58.68,99.91,12.41,149.0
72.34,140.37,16.28,102.0
77.06,145.42,14.74,206.0
63.22,135.76,15.96,132.0
45.65,102.2,13.18,109.0
45.79,94.86,11.14,102.0
53.46,108.55,13.16,100.0
51.15,106.42,13.63,109.0
37.92,65.35,12.04,85.0
28.87,48.29,11.69,56.0
31.92,43.82,9.94,48.0
28.35,47.36,11.19,49.0
27.82,63.04,11.61,58.0
46.57,108.09,15.57,80.0
75.8,165.63,17.6,123.0
63.64,120.83,15.63,170.0
39.14,73.4,9.24,88.0
46.49,85.04,12.03,77.0
40.07,79.2,11.91,80.0
48.86,90.27,10.91,85.0
58.57,134.0,11.8,110.0
46.76,96.89,11.33,112.0
54.78,127.45,13.64,93.0
65.75,140.69,16.84,136.0
41.75,93.67,12.43,112.0
29.8,72.37,10.72,73.0
27.35,82.96,13.16,75.0
50.16,107.88,13.38,99.0
63.05,108.46,14.09,117.0
70.05,123.37,18.67,93.0
40.04,89.37,17.71,142.0
23.83,68.76,16.39,72.0
26.33,65.41,11.56,76.0
33.27,66.36,12.56,55.0
46.01,85.01,15.01,95.0
36.92,82.32,12.5,75.0
45.69,115.3,14.34,95.0
48.43,112.21,16.22,113.0
44.5,85.81,11.9,98.0
44.26,93.7,13.75,83.0
52.11,95.92,17.65,102.0
56.44,94.22,15.27,91.0
58.61,103.76,19.65,101.0
58.08,109.57,18.27,109.0
55.99,118.21,17.75,109.0
54.47,114.12,15.96,110.0
45.96,94.73,14.52,102.0
38.65,96.46,13.63,94.0
38.73,92.66,14.94,94.0
44.75,97.01,18.43,99.0
37.34,84.86,17.18,88.0
39.85,114.47,17.63,94.0
49.94,140.48,23.78,124.0
40.09,105.55,22.32,114.0
17.74,36.33,19.61,72.0
28.86,59.53,16.27,50.0
26.21,65.46,16.68,64.0
22.11,68.15,14.65,61.0
31.08,78.66,17.82,78.0
36.76,96.77,21.72,83.0
55.33,122.12,22.96,112.0
48.22,112.13,19.63,112.0
24.21,56.88,19.64,86.0
16.87,53.56,19.34,62.0
32.21,75.25,19.91,66.0
35.14,90.3,16.91,82.0
35.6,101.85,21.84,97.0
20.93,64.03,21.44,86.0
13.67,38.03,17.43,49.0
13.4,26.33,12.2,35.0
22.56,46.29,14.69,62.0
21.62,53.89,13.26,47.0
29.78,76.2,18.13,69.0
27.87,69.71,20.98,74.0
19.08,38.09,19.73,49.0
17.86,40.9,18.04,50.0
9.63,23.2,12.29,29.0
10.57,36.5,9.66,30.0
21.2,70.76,9.14,56.0
18.52,76.08,8.04,77.0
20.51,82.33,8.72,79.0
23.59,83.69,11.22,85.0
24.17,78.67,12.79,79.0
21.88,74.23,12.43,76.0
18.63,42.79,9.7,62.0
14.77,38.24,10.02,39.0
16.69,34.29,9.91,36.0
15.43,37.65,8.88,35.0
13.28,40.33,8.79,39.0
18.86,34.12,9.17,40.0
7.73,15.78,9.4,26.0
18.82,41.48,9.31,30.0
12.34,29.51,10.05,38.0
15.51,39.66,10.85,34.0
12.25,26.47,10.86,32.0
11.2,31.54,9.8,34.0
11.91,22.03,11.26,33.0
12.77,29.32,11.97,34.0
15.43,34.61,13.07,35.0
20.93,47.96,10.91,41.0
11.46,40.6,9.63,45.0
11.19,33.44,11.89,38.0
10.0,24.49,12.34,35.0
12.37,35.91,11.89,36.0
14.16,42.72,11.66,42.0
15.62,44.12,10.16,46.0
19.73,44.85,10.72,45.0
18.52,56.62,11.69,56.0
22.97,82.04,11.23,71.0
21.93,61.39,11.04,74.0
10.05,41.58,10.35,55.0
6.86,22.51,10.47,39.0
11.4,20.39,11.89,34.0
12.87,32.33,13.35,37.0
11.29,24.44,12.47,41.0
16.05,35.61,12.3,50.0
14.91,43.08,13.2,57.0
17.25,60.12,11.93,63.0
12.34,25.87,12.06,51.0
10.3,21.14,12.76,35.0
12.25,34.79,13.24,40.0
14.57,40.93,12.76,40.0
21.39,59.34,10.33,54.0
22.24,62.94,11.59,60.0
19.81,64.91,9.84,64.0
17.98,46.16,8.65,66.0
10.42,27.26,11.69,50.0
17.99,49.93,13.03,52.0
16.21,51.32,12.43,60.0
13.54,50.6,12.5,56.0
18.31,58.59,13.77,64.0
23.0,68.68,13.92,74.0
24.15,70.6,12.1,77.0
16.39,32.19,13.19,92.0
17.07,51.9,13.43,62.0
34.57,80.7,16.16,66.0
29.6,76.43,11.53,81.0
12.35,44.33,11.65,63.0
20.83,58.34,12.38,60.0
22.99,55.25,14.01,64.0
21.46,64.99,13.04,65.0
16.47,46.79,15.7,66.0
17.59,62.46,4.12,60.0
29.03,114.38,3.97,82.0
35.93,148.36,4.31,116.0
35.26,115.35,4.15,130.0
24.52,88.82,4.5,104.0
26.31,79.69,4.43,91.0
29.31,89.31,4.14,97.0
19.09,94.4,5.67,107.0
19.87,94.14,7.07,98.0
11.88,44.34,6.59,77.0
15.25,43.99,5.34,48.0
16.6,31.15,5.43,46.0
18.59,39.63,5.11,56.0
18.36,49.0,5.02,57.0
16.71,55.63,9.17,67.0
14.48,42.99,10.16,72.0
21.25,41.22,9.52,54.0
22.07,34.31,8.37,50.0
16.35,27.91,14.64,53.0
21.12,44.53,14.96,61.0
29.37,60.45,11.05,63.0
24.53,69.69,12.04,72.0
25.59,71.11,10.68,78.0
33.92,84.64,8.16,87.0
25.68,74.5,11.6,85.0
21.72,54.51,8.43,71.0
21.74,69.81,6.21,73.0
21.2,55.75,11.63,73.0
20.84,59.04,7.87,72.0
28.75,72.21,8.61,72.0
16.34,50.9,8.53,82.0
23.97,69.58,9.83,58.0
26.45,57.26,9.1,76.0
21.69,44.88,9.25,61.0
19.17,44.48,7.69,53.0
16.79,29.54,8.58,38.0
14.15,33.6,6.87,37.0
31.84,64.54,7.4,68.0
35.55,68.82,6.79,79.0
39.42,82.24,7.21,73.0
38.89,88.27,8.57,83.0
20.28,45.56,7.36,71.0
32.9,72.38,9.87,66.0
313.22,607.98,36.39,472.0
186.18,269.55,32.87,454.0
87.18,131.9,30.31,143.0
151.84,241.84,36.91,319.0
146.6,219.13,34.92,325.0
149.58,252.1,37.84,318.0
217.87,376.51,40.15,353.0
229.9,360.95,43.16,383.0
201.66,397.43,38.56,375.0
221.02,361.74,46.39,376.0
205.41,393.2,47.29,379.0
212.41,345.63,44.71,375.0
197.61,301.04,45.88,366.0
164.39,227.38,41.17,353.0
166.19,283.93,56.7,340.0
174.98,309.99,49.41,356.0
196.46,356.2,53.04,360.0
201.51,359.75,53.77,370.0
183.35,305.13,39.88,362.0
165.63,257.04,34.23,340.0
159.54,235.27,22.56,338.0
143.68,183.89,21.82,332.0
128.73,136.07,17.35,254.0
164.98,200.02,15.77,324.0
148.59,203.81,20.83,333.0
129.34,137.86,25.66,292.0
154.2,217.2,30.39,318.0
134.6,156.9,28.6,295.0
173.13,277.0,38.34,327.0
178.04,272.61,38.43,345.0
158.59,207.06,41.36,334.0
211.59,371.05,58.17,358.0
163.64,219.84,37.25,349.0
157.71,194.09,31.05,334.0
137.26,147.08,29.69,313.0
131.76,127.42,36.51,262.0
151.6,330.99,67.0,303.0
160.75,210.52,57.69,329.0
145.34,215.69,50.39,323.0
134.67,109.86,39.18,266.0
153.07,218.23,42.2,319.0
116.91,316.14,53.63,334.0
177.98,394.97,42.73,342.0
167.01,328.43,44.61,341.0
193.96,412.46,53.81,377.0
184.06,497.37,58.15,391.0
152.62,310.74,44.22,358.0
161.27,195.78,25.4,327.0
188.2,253.53,60.29,365.0
159.97,193.78,40.51,352.0
144.12,162.2,34.71,317.0
155.38,191.03,45.11,320.0
124.1,107.61,31.83,279.0
141.39,157.01,38.23,281.0
170.16,238.33,48.4,354.0
148.19,169.57,29.28,340.0
140.78,171.64,20.95,323.0
130.42,163.67,24.75,315.0
105.86,169.28,20.65,310.0
71.83,98.89,21.42,324.0
53.71,60.15,13.43,226.0
83.49,112.1,23.75,266.0
91.07,139.15,24.28,200.0
106.57,196.19,31.12,275.0
101.75,163.14,26.59,322.0
77.57,90.54,19.15,216.0
63.24,80.2,20.35,108.0
76.62,117.38,18.21,197.0
86.7,150.92,18.82,238.0
104.29,176.2,25.63,274.0
115.93,203.75,32.29,315.0
108.66,173.89,30.75,307.0
67.94,105.29,29.78,208.0
38.89,46.68,17.76,165.0
45.39,74.14,17.14,188.0
55.55,104.33,20.96,217.0
50.59,95.56,16.6,191.0
69.51,136.67,23.77,240.0
96.62,168.0,29.04,229.0
96.28,172.91,29.21,248.0
72.2,122.12,20.27,204.0
78.47,131.42,23.04,271.0
91.87,179.36,30.01,290.0
107.26,201.08,33.82,340.0
109.78,217.9,33.02,358.0
62.27,117.81,24.76,287.0
102.22,212.96,29.41,323.0
104.36,202.01,33.86,360.0
44.19,57.0,17.6,268.0
55.66,78.64,20.13,283.0
112.86,167.6,32.71,309.0
78.51,112.78,20.54,249.0
66.52,76.05,18.47,245.0
62.56,86.11,24.96,229.0
78.61,145.1,27.75,234.0
119.7,195.47,32.83,343.0
66.09,95.81,24.47,262.0
95.34,120.2,34.72,308.0
63.57,148.17,35.15,293.0
96.56,203.67,52.77,290.0
131.39,234.65,59.52,375.0
75.35,91.73,45.3,293.0
86.49,116.62,50.3,247.0
77.07,132.68,42.65,232.0
98.79,161.43,47.41,316.0
81.81,164.56,44.06,295.0
65.78,180.67,40.09,246.0
119.82,268.65,51.11,378.0
125.53,308.82,64.73,406.0
121.51,336.63,60.41,392.0
114.5,327.81,50.7,391.0
101.83,279.41,55.27,368.0
118.57,273.68,76.46,365.0
143.22,313.53,88.61,383.0
106.76,318.88,58.87,367.0
65.36,160.3,31.23,334.0
67.08,174.5,35.54,258.0
81.37,141.25,34.88,234.0
63.76,131.56,42.98,257.0
60.56,171.42,43.9,259.0
76.1,192.81,42.99,279.0
73.78,230.34,27.42,210.0
97.63,318.24,29.16,298.0
99.5,278.36,35.31,315.0
97.31,284.54,41.7,368.0
76.43,201.89,29.5,266.0
61.69,168.63,27.81,174.0
55.19,179.42,35.49,199.0
63.79,219.51,38.36,217.0
58.48,195.05,36.2,238.0
60.29,184.78,42.1,230.0
67.35,181.99,46.81,218.0
87.55,178.57,54.45,226.0
84.57,171.76,45.36,202.0
111.58,236.34,60.71,274.0
108.78,217.16,56.31,289.0
91.18,190.99,46.44,235.0
104.85,250.21,60.96,285.0
56.19,129.11,43.3,209.0
67.62,125.24,49.83,132.0
64.38,141.89,62.73,179.0
45.65,109.7,62.69,136.0
35.75,70.38,38.78,104.0
34.89,101.42,31.17,95.0
63.06,187.9,39.16,175.0
82.39,222.71,45.09,290.0
88.08,254.8,45.96,282.0
89.75,252.06,44.13,298.0
69.57,190.18,43.41,240.0
68.34,172.35,48.19,188.0
61.08,155.26,42.91,187.0
85.7,205.18,54.68,230.0
97.62,220.56,52.53,286.0
103.58,293.23,54.93,266.0
145.97,335.82,62.84,369.0
180.52,347.95,75.42,375.0
151.57,355.56,65.07,411.0
144.04,305.35,57.05,383.0
148.44,291.66,58.32,388.0
130.22,284.27,65.15,351.0
147.71,287.93,61.29,320.0
111.34,246.3,51.83,296.0
100.7,232.58,52.92,312.0
97.67,189.31,48.92,260.0
75.81,155.25,43.47,204.0
95.24,199.77,60.8,218.0
90.66,137.89,20.29,388.0
156.71,263.15,41.09,298.0
170.28,312.88,61.67,392.0
198.1,336.47,74.62,428.0
158.04,265.39,46.9,384.0
116.98,213.49,32.96,292.0
143.73,289.01,67.38,343.0
169.22,341.7,71.38,383.0
